Array Size,Selection Sort,Insertion Sort,Binary Insertion Sort,Merge Sort
100,0.000000,0.000000,0.000000,0.000000
200,0.000000,0.000000,0.000000,0.000000
300,0.000000,0.000000,0.001000,0.000000
400,0.000000,0.001000,0.000000,0.000000
500,0.001000,0.000000,0.000000,0.000000
600,0.000000,0.000000,0.001000,0.000000
700,0.001000,0.000000,0.000000,0.000000
800,0.001000,0.000000,0.000000,0.000000
900,0.001000,0.000000,0.000000,0.000000
1000,0.001000,0.001000,0.000000,0.000000
1100,0.001000,0.001000,0.001000,0.000000
1200,0.002000,0.001000,0.000000,0.000000
1300,0.002000,0.001000,0.001000,0.000000
1400,0.002000,0.001000,0.000000,0.000000
1500,0.002000,0.002000,0.001000,0.001000
1600,0.003000,0.001000,0.001000,0.000000
1700,0.003000,0.001000,0.001000,0.000000
1800,0.003000,0.002000,0.001000,0.000000
1900,0.004000,0.003000,0.002000,0.000000
2000,0.004000,0.003000,0.002000,0.000000
2100,0.004000,0.002000,0.001000,0.000000
2200,0.005000,0.003000,0.002000,0.001000
2300,0.006000,0.003000,0.002000,0.000000
2400,0.006000,0.003000,0.002000,0.000000
2500,0.007000,0.003000,0.002000,0.000000
2600,0.007000,0.003000,0.003000,0.000000
2700,0.008000,0.004000,0.003000,0.001000
2800,0.008000,0.004000,0.003000,0.000000
2900,0.008000,0.004000,0.003000,0.001000
3000,0.009000,0.005000,0.003000,0.001000
3100,0.010000,0.034000,0.009000,0.001000
3200,0.010000,0.005000,0.004000,0.000000
3300,0.011000,0.006000,0.004000,0.000000
3400,0.012000,0.007000,0.004000,0.000000
3500,0.012000,0.006000,0.004000,0.000000
3600,0.013000,0.006000,0.005000,0.001000
3700,0.014000,0.007000,0.005000,0.000000
3800,0.015000,0.008000,0.006000,0.001000
3900,0.018000,0.008000,0.006000,0.000000
4000,0.017000,0.011000,0.007000,0.001000
4100,0.020000,0.009000,0.006000,0.000000
4200,0.018000,0.009000,0.007000,0.000000
4300,0.020000,0.010000,0.008000,0.001000
4400,0.020000,0.011000,0.007000,0.000000
4500,0.022000,0.010000,0.009000,0.000000
4600,0.022000,0.011000,0.009000,0.001000
4700,0.023000,0.012000,0.008000,0.000000
4800,0.024000,0.013000,0.009000,0.000000
4900,0.025000,0.012000,0.010000,0.001000
5000,0.026000,0.012000,0.010000,0.001000
5100,0.028000,0.014000,0.014000,0.001000
5200,0.031000,0.017000,0.010000,0.001000
5300,0.029000,0.014000,0.011000,0.001000
5400,0.031000,0.016000,0.011000,0.001000
5500,0.033000,0.016000,0.012000,0.000000
5600,0.033000,0.045000,0.011000,0.000000
5700,0.034000,0.016000,0.012000,0.001000
5800,0.034000,0.017000,0.013000,0.001000
5900,0.036000,0.019000,0.021000,0.001000
6000,0.042000,0.018000,0.013000,0.001000
6100,0.038000,0.020000,0.014000,0.000000
6200,0.040000,0.020000,0.014000,0.001000
6300,0.041000,0.020000,0.015000,0.001000
6400,0.043000,0.021000,0.015000,0.000000
6500,0.044000,0.021000,0.016000,0.001000
6600,0.045000,0.022000,0.016000,0.001000
6700,0.046000,0.023000,0.017000,0.001000
6800,0.048000,0.024000,0.018000,0.001000
6900,0.050000,0.024000,0.017000,0.001000
7000,0.050000,0.025000,0.020000,0.001000
7100,0.052000,0.026000,0.018000,0.001000
7200,0.054000,0.026000,0.019000,0.001000
7300,0.055000,0.027000,0.019000,0.001000
7400,0.056000,0.028000,0.020000,0.001000
7500,0.059000,0.030000,0.021000,0.001000
7600,0.060000,0.030000,0.022000,0.001000
7700,0.061000,0.030000,0.022000,0.001000
7800,0.062000,0.030000,0.023000,0.001000
7900,0.063000,0.032000,0.023000,0.001000
8000,0.066000,0.032000,0.023000,0.001000
8100,0.068000,0.034000,0.024000,0.001000
8200,0.069000,0.035000,0.024000,0.001000
8300,0.071000,0.035000,0.025000,0.002000
8400,0.072000,0.036000,0.026000,0.001000
8500,0.074000,0.036000,0.026000,0.001000
8600,0.076000,0.037000,0.027000,0.001000
8700,0.077000,0.039000,0.027000,0.001000
8800,0.079000,0.039000,0.028000,0.001000
8900,0.082000,0.040000,0.029000,0.001000
9000,0.082000,0.043000,0.030000,0.001000
9100,0.084000,0.042000,0.032000,0.002000
9200,0.089000,0.044000,0.032000,0.002000
9300,0.088000,0.044000,0.031000,0.001000
9400,0.091000,0.070000,0.035000,0.001000
9500,0.094000,0.052000,0.033000,0.001000
9600,0.095000,0.049000,0.038000,0.001000
9700,0.094000,0.048000,0.034000,0.001000
9800,0.099000,0.049000,0.035000,0.001000
9900,0.100000,0.050000,0.035000,0.001000
10000,0.101000,0.051000,0.036000,0.002000
10100,0.102000,0.054000,0.038000,0.002000
10200,0.104000,0.055000,0.040000,0.001000
10300,0.108000,0.055000,0.039000,0.001000
10400,0.109000,0.058000,0.040000,0.001000
10500,0.110000,0.057000,0.041000,0.002000
10600,0.112000,0.057000,0.041000,0.001000
10700,0.114000,0.059000,0.043000,0.001000
10800,0.118000,0.060000,0.043000,0.002000
10900,0.119000,0.063000,0.045000,0.001000
11000,0.121000,0.063000,0.044000,0.002000
11100,0.123000,0.064000,0.046000,0.001000
11200,0.127000,0.064000,0.046000,0.001000
11300,0.127000,0.066000,0.048000,0.001000
11400,0.130000,0.068000,0.048000,0.002000
11500,0.131000,0.068000,0.048000,0.001000
11600,0.135000,0.071000,0.050000,0.001000
11700,0.137000,0.071000,0.051000,0.001000
11800,0.137000,0.071000,0.052000,0.001000
11900,0.141000,0.074000,0.053000,0.001000
12000,0.144000,0.074000,0.052000,0.001000
12100,0.146000,0.076000,0.054000,0.001000
12200,0.146000,0.078000,0.055000,0.001000
12300,0.150000,0.077000,0.086000,0.001000
12400,0.152000,0.081000,0.056000,0.002000
12500,0.154000,0.082000,0.057000,0.001000
12600,0.157000,0.083000,0.056000,0.001000
12700,0.158000,0.086000,0.059000,0.002000
12800,0.159000,0.087000,0.061000,0.001000
12900,0.162000,0.087000,0.062000,0.002000
13000,0.166000,0.088000,0.062000,0.001000
13100,0.169000,0.088000,0.062000,0.002000
13200,0.169000,0.090000,0.064000,0.001000
13300,0.173000,0.093000,0.066000,0.001000
13400,0.176000,0.092000,0.066000,0.001000
13500,0.180000,0.093000,0.067000,0.002000
13600,0.181000,0.096000,0.068000,0.001000
13700,0.184000,0.099000,0.068000,0.002000
13800,0.184000,0.099000,0.069000,0.002000
13900,0.188000,0.100000,0.072000,0.001000
14000,0.192000,0.102000,0.071000,0.002000
14100,0.193000,0.104000,0.073000,0.002000
14200,0.199000,0.103000,0.074000,0.002000
